Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Sheppard,462.5625,,0,,88.50,88.5,23,NN,23,Tone->Tone,FM,12.5,,5.0W,,,,,
2,W1ALE,146.94,-,0.6,Tone,114.80,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
3,N1LT,146.985,-,0.6,Tone,123.00,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
4,WX1,162.4,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
5,WX2,162.425,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
6,WX3,162.45,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
7,WX4,162.475,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
8,WX5,162.5,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
9,WX6,162.525,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
10,WX7,162.55,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
11,CON ASOS,132.325,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
12,CON CTAF,122.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
13,BOS ATC,127.35,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
14,MHT ASOS,119.55,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
15,BTV ATIS,123.8,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
16,BTV TWR,118.3,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
17,BTV GND,126.3,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
18,BTV APP/DEP,121.1,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
19,BTV CLR,119.15,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
20,PBG ASOS,132.225,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
21,PBG CTAF,122.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
