Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
,"    Sargents Purchase, Mt. Washington","    145.1200",+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
,"    Kensington","    145.1500",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
,"    Bow, Brown Hill","    145.1700",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
,"    Sanbornton, Lake Winnisquam","    145.1800",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
,"    Somersworth","    145.1800",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
,"    Manchester","    145.2200",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
,"    Center Ossipee","    145.2300",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.5W,,,,,
,"    Hudson","    145.2600",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Wakefield","    145.2800",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Derry","    145.3100",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Moultonborough","    145.3100",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Salem, HRO","    145.3200",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Hanover, Moose Mountain","    145.3300",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Gilford","    145.3600",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Whitefield","    145.3700",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Kensington","    145.4000",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Madbury","    145.4000",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Concord","    145.4200",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Franconia, Cannon Mt","    145.4300",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Hampton Beach","    145.4400",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    North Conway, Mt Cranmore","    145.4500",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Franklin","    145.4600",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Pembroke, Plausawa Hill","    145.4800",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Pelham","    146.5000",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Bow","    146.6100",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Gorham, Mount Washington","    146.6550",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Sanbornton, Steele Hill Resorts","    146.6700",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
,"    Bedford","    146.6850",,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,,,,,,,,
